"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
47,10117,20.6,-1.5,Daveon COLLINS,03 OCT 1992,USA,4f1,"Claremont, CA (USA)",03 JUN 2017,1136
48,10117,20.6,0.6,Luka JANEŽIČ,14 NOV 1995,SLO,1f1,"Hadar Yosef Stadium, Tel Aviv (ISR)",24 JUN 2017,1127
49,10117,20.6,0.2,Tyson GAY,09 AUG 1982,USA,2h1,"Sacramento, CA (USA)",24 JUN 2017,1127
50,10117,20.6,0.2,Sean MCLEAN,23 MAR 1992,USA,2h1,"Sacramento, CA (USA)",24 JUN 2017,1127
51,10117,20.6,-0.8,Elijah HALL-THOMPSON,22 AUG 1994,USA,1h2,"Sacramento, CA (USA)",24 JUN 2017,1131
52,10117,20.6,-1.0,Moriba MORAIN,08 OCT 1992,TTO,4f2,Port-of-Spain (TTO),25 JUN 2017,1133
53,10117,20.6,0.3,Mario BURKE,18 MAR 1997,BAR,3,St. Michael (BAR),25 JUN 2017,1127
54,10117,20.6,-0.1,Salem Eid YAQOOB,01 MAR 1996,BRN,1h2,Almaty (KAZ),25 JUN 2017,1127
55,10117,20.6,-0.6,Jonathan QUARCOO,13 OCT 1996,NOR,4h2,"Olympic Stadium, London (GBR)",07 AUG 2017,1130
56,10117,20.6,-0.6,Warren WEIR,31 OCT 1989,JAM,4h5,"Olympic Stadium, London (GBR)",07 AUG 2017,1130
57,10117,20.6,-2.1,Joseph MILLAR,24 SEP 1992,NZL,,Gold Coast (AUS),18 FEB 2018,1139
58,10117,20.6,0.1,Chederick VAN WYK,18 FEB 1995,RSA,1f3,Pretoria (RSA),23 MAR 2018,1127
59,10117,20.6,-0.4,Warren WEIR,31 OCT 1989,JAM,1h1,Gold Coast (AUS),10 APR 2018,1129
60,10117,20.6,0.6,Steven MÜLLER,15 SEP 1990,GER,1f2,Jena (GER),26 MAY 2018,1127
61,10117,20.6,1.4,Silvan WICKI,13 FEB 1995,SUI,1f1,Langenthal (SUI),02 JUN 2018,1127
62,10117,20.6,0.3,Remontay MCCLAIN,21 SEP 1992,USA,2f1,"Pomona, CA (USA)",02 JUN 2018,1127
63,10117,20.6,1.1,Joseph Paul AMOAH,12 JAN 1997,GHA,6sf1,"Eugene, OR (USA)",06 JUN 2018,1127
64,10117,20.6,-1.8,Jeffrey JOHN,06 JUN 1992,FRA,2f1,La Chaux-de-Fonds (SUI),01 JUL 2018,1137
65,10117,20.6,2.0,Masafumi NAOKI,19 NOV 1993,JPN,1,Osaka (JPN),08 JUL 2018,1127
66,10117,20.6,1.1,Dominik KOPEĆ,05 MAR 1995,POL,1h1,Lublin (POL),21 JUL 2018,1127
67,10117,20.6,0.9,Reynier MENA,21 NOV 1996,CUB,6,Barranquilla (COL),01 AUG 2018,1127
68,10117,20.6,0.1,Andrew HOWE,12 MAY 1985,ITA,2h1,"Olympiastadion, Berlin (GER)",08 AUG 2018,1127
69,10117,20.6,0.1,Shota IIZUKA,25 JUN 1991,JPN,1,Osaka (JPN),22 SEP 2018,1127
70,10117,20.6,1.8,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,1f1,"Orlando, FL (USA)",23 MAR 2019,1127
71,10117,20.6,-0.7,Rodney ROWE,17 MAR 1997,USA,1f1,"Gainesville, FL (USA)",29 MAR 2019,1131
72,10117,20.6,1.3,Yuki KOIKE,13 MAY 1995,JPN,2sf1,Doha (QAT),23 APR 2019,1127
73,10117,20.6,1.3,Dartez HAMLIN,12 JUL 1997,USA,1,"El Dorado, KS (USA)",04 MAY 2019,1127
74,10117,20.6,0.0,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,5,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1127
75,10117,20.6,-0.4,Taymir BURNET,01 OCT 1992,NED,1f1,Oordegem (BEL),01 JUN 2019,1129
76,10117,20.6,-0.7,Jorge VIDES,24 NOV 1992,BRA,2f1,Gliwice (POL),02 JUN 2019,1131
77,10117,20.6,-2.6,Reynier MENA,21 NOV 1996,CUB,1f1,La Habana (CUB),08 JUN 2019,1142
78,10117,20.6,-1.0,Alex QUIÑÓNEZ,11 AUG 1989,ECU,1,Soria (ESP),15 JUN 2019,1133
79,10117,20.6,0.9,Andre EWERS,07 JUN 1995,JAM,2sf2,Kingston (JAM),22 JUN 2019,1127
80,10117,20.6,0.1,Thando DLODLO,22 APR 1999,RSA,1,Poznan (POL),02 JUL 2019,1127
81,10117,20.6,1.1,Ján VOLKO,02 NOV 1996,SVK,1f1,"Stadion Juliska, Praha (CZE)",24 AUG 2019,1127
82,10117,20.6,0.2,Kirara SHIRAISHI,31 MAY 1996,JPN,1,"Prefectural Stadium, Kagoshima (JPN)",25 AUG 2019,1127
83,10117,20.6,0.7,Robin VANDERBEMDEN,10 FEB 1994,BEL,1h1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2019,1127
84,10117,20.6,0.2,Churandy MARTINA,03 JUL 1984,NED,3,Antalya (TUR),16 SEP 2019,1127
85,10117,20.6,0.7,Jeremy DODSON,30 AUG 1987,SAM,4h4,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1127
86,10117,20.6,1.0,Kyree KING,09 JUL 1994,USA,3f2,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1127
87,10117,20.6,1.9,Matthew HUDSON-SMITH,26 OCT 1994,GBR,1f3,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1127
88,10117,20.6,0.9,Evan MILLER,29 AUG 2000,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",02 APR 2021,1127
89,10117,20.6,-0.1,Wayde VAN NIEKERK,15 JUL 1992,RSA,1h1,"Bestmed Tuks Stadium, Pretoria (RSA)",16 APR 2021,1127
90,10117,20.6,0.4,Xingqiang TANG,11 AUG 1995,CHN,1,Zhaoqing (CHN),25 APR 2021,1127
91,10117,20.6,0.1,Emmanuel MATADI,15 APR 1991,LBR,4f1,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2021,1127
92,10117,20.6,1.4,Akihiro HIGASHIDA,13 DEC 1995,JPN,3,"National Stadium, Tokyo (JPN)",09 MAY 2021,1127
93,10117,20.6,1.7,Tyler JOHNSON,11 FEB 1998,USA,1h1,"Demirjian Park, Champaign, IL (USA)",14 MAY 2021,1127
94,10117,20.6,0.0,Daveon COLLINS,03 OCT 1992,USA,2f1,"Cougar Athletic Stadium, Azusa, CA (USA)",15 MAY 2021,1127
95,10117,20.6,1.5,Lance BROOME,,USA,5h3,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1127
96,10117,20.6,-0.7,Bryan LEVELL,23 DEC 2003,JAM,3f1,"National Stadium, Kingston (JAM)",05 JUN 2021,1131
97,10117,20.6,0.1,Fodé SISSOKO,09 OCT 1996,MLI,1f5,"Centre sportif Bout-du-Monde, Genève (SUI)",12 JUN 2021,1127
98,10117,20.6,-2.0,Femi OGUNODE,15 MAY 1991,QAT,1,"Stadion Radés, Radés (TUN)",20 JUN 2021,1139
99,10117,20.6,-0.1,Elijah MORROW,30 OCT 1995,USA,4h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1127
0,10117,20.6,0.3,Jesús GÓMEZ,02 SEP 1999,ESP,2,"Kadrioru staadion, Tallinn (EST)",10 JUL 2021,1127
1,10117,20.6,0.9,Taymir BURNET,01 OCT 1992,NED,3h2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1127
2,10117,20.6,0.6,Alonso EDWARD,08 DEC 1989,PAN,2h4,"National Stadium, Tokyo (JPN)",03 AUG 2021,1127
3,10117,20.6,0.4,Brendon RODNEY,09 APR 1992,CAN,6h7,"National Stadium, Tokyo (JPN)",03 AUG 2021,1127
4,10117,20.6,-0.4,Simon HANSEN,30 JUN 1998,DEN,2,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2021,1129
5,10117,20.6,0.4,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,1,Bragança Paulista (BRA),05 SEP 2021,1127
6,10117,20.6,0.0,Solomon BOCKARIE,18 MAY 1987,NED,2,"National Stadium, Gaborone (BOT)",30 APR 2022,1127
7,10117,20.6,1.2,Edward SUMLER,,USA,1f2,"Tom Tellez Track, Houston, TX (USA)",06 MAY 2022,1127
8,10117,20.6,-0.1,Dorian CAMEL,03 MAR 1999,USA,1h3,"Ole Miss T&F Complex, Oxford, MS (USA)",12 MAY 2022,1127
9,10117,20.6,-0.3,Connor WASHINGTON,2003,USA,2h4,"Ole Miss T&F Complex, Oxford, MS (USA)",12 MAY 2022,1128
10,10117,20.6,0.3,Connor WASHINGTON,2003,USA,8,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1127
11,10117,20.6,1.3,De’montray CALLIS,,USA,3h2,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",14 MAY 2022,1127
12,10117,20.6,-2.1,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,2,La Nucia (ESP),22 MAY 2022,1139
13,10117,20.6,1.0,Eric GREGORY,2000,USA,3,"Spire Institute Outdoor Complex, Geneva, OH (USA)",28 MAY 2022,1127
14,10117,20.6,-0.4,Evan MILLER,29 AUG 2000,USA,4h4,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1129
15,10117,20.6,2.0,Anthony GREENHOW,19 MAR 2003,USA,5,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1127
16,10117,20.6,1.6,Gediminas TRUSKAUSKAS,02 JAN 1998,LTU,2f2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1127
17,10117,20.6,0.0,Aaron BROWN,27 MAY 1992,CAN,2h2,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1127
18,10117,20.6,1.0,Adam GEMILI,06 OCT 1993,GBR,4h6,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1127
19,10117,20.6,-2.8,Joseph FAHNBULLEH,11 SEP 2001,LBR,6,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1143
20,10117,20.6,-1.0,Erik CARDOSO,03 MAR 2000,BRA,2h7,Cuiaba (BRA),17 SEP 2022,1133
21,10117,20.6,0.6,Towa UZAWA,25 NOV 2002,JPN,1,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2022,1127
22,10117,20.6,0.4,Chun-Han YANG,01 JAN 1997,TPE,1,Yilan (TPE),22 OCT 2022,1127
23,10117,20.6,0.4,Armand VAN DER WALT,04 JAN 2004,RSA,1f7,"Bestmed Tuks Stadium, Pretoria (RSA)",01 FEB 2023,1127
24,10117,20.6,0.8,Emmanuel ESEME,17 AUG 1993,CMR,1h1,"Stade Omnisports de Kouekong, Bafoussam (CMR)",19 MAR 2023,1127
25,10117,20.6,0.7,Sibusiso MATSENJWA,02 MAY 1988,SWZ,1f3,"McArthur Stadium, Potchefstroom (RSA)",26 APR 2023,1127
26,10117,20.6,-0.1,Yupun ABEYKOON,31 DEC 1994,SRI,1f1,"Stadio Luigi Ridolfi, Firenze (ITA)",07 MAY 2023,1127
27,10117,20.6,0.1,Keontae GAINES,2002,USA,1h4,"New Mexico JC, Hobbs, NM (USA)",19 MAY 2023,1127
28,10117,20.6,1.5,Anthony PESELA,09 JUN 2002,BOT,1,"National Stadium, Gaborone (BOT)",28 MAY 2023,1127
29,10117,20.6,1.2,Henrik LARSSON,30 SEP 1999,SWE,3,"Sollentunavallen, Sollentuna (SWE)",11 JUN 2023,1127
30,10117,20.6,-0.5,Ján VOLKO,02 NOV 1996,SVK,1f1,"Mestský Stadion Sletište, Kladno (CZE)",13 JUN 2023,1130
31,10117,20.6,-1.0,Gediminas TRUSKAUSKAS,02 JAN 1998,LTU,2f1,"Stadion Śląski, Chorzów (POL)",22 JUN 2023,1133
32,10533,20.61,1.2,Roger BAMBUCK,22 NOV 1945,FRA,2h6,"Estadio Olímpico, Ciudad de México (MEX)",15 OCT 1968,1126
33,10533,20.61,-0.9,Valeriy BORZOV,20 OCT 1949,URS,2,Nice (FRA),17 AUG 1975,1131
34,10533,20.61,-1.1,Don QUARRIE,25 FEB 1951,JAM,2,London (GBR),29 AUG 1975,1132
35,10533,20.61,1.9,Thorsten JOHANSSON,09 OCT 1950,SWE,2h1,Dresden (GER),20 MAY 1976,1126
36,10533,20.61,,LaMonte KING,18 DEC 1959,USA,1,"Fresno, CA (USA)",13 MAY 1978,1126
37,10533,20.61,1.6,Brady CRAIN,08 AUG 1956,USA,4,Air Force Academy (USA),30 JUL 1978,1126
38,10533,20.61,1.8,Allan WELLS,03 MAY 1952,GBR,1qf4,Edmonton (CAN),08 AUG 1978,1126
39,10533,20.61,,Silvio LEONARD,20 SEP 1955,CUB,2,Nice (FRA),20 AUG 1978,1126
40,10533,20.61,-0.2,Olaf PRENZLER,24 AUG 1958,GDR,2,"Stadion Evžena Rošického, Praha (TCH)",01 SEP 1978,1127
41,10533,20.61,1.1,Steve WILLIAMS,13 NOV 1953,USA,2,"Westwood, CA (USA)",06 MAY 1979,1126
42,10533,20.61,0.0,James GILKES,21 SEP 1952,GUY,2,Köln (GER),19 AUG 1979,1126
43,10533,20.61,-0.4,Jeff PHILLIPS,16 MAY 1957,USA,1,"Knoxville, TN (USA)",24 MAY 1980,1128
44,10533,20.61,-1.4,James SANFORD,27 DEC 1957,USA,1,"Seattle, WA (USA)",24 MAY 1980,1134
45,10533,20.61,0.2,Millard HAMPTON,08 JUL 1956,USA,1h2,"Walnut, CA (USA)",13 JUN 1980,1126
46,10533,20.61,0.9,Brad MACDONALD,06 SEP 1958,USA,5,"Walnut, CA (USA)",15 JUN 1980,1126
47,10533,20.61,,Silvio LEONARD,20 SEP 1955,CUB,1sf1,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1126
48,10533,20.61,1.5,Allan WELLS,03 MAY 1952,GBR,1,Gateshead (GBR),31 AUG 1980,1126
49,10533,20.61,-0.1,Pascal BARRÉ,12 APR 1959,FRA,1,Sotteville-lès-Rouen (FRA),07 SEP 1980,1126
50,10533,20.61,,Mel LATTANY,10 AUG 1959,USA,1,"Athens, GA (USA)",09 MAY 1981,1126
51,10533,20.61,-1.3,Dwayne EVANS,13 OCT 1958,USA,1sf2,"Sacramento, CA (USA)",21 JUN 1981,1133
52,10533,20.61,,Eric BROWN,12 JAN 1960,USA,2,"Syracuse, NY (USA)",27 JUL 1981,1126
53,10533,20.61,0.3,Erwin SKAMRAHL,08 MAR 1958,FRG,4,Zagreb (CRO),16 AUG 1981,1126
54,10533,20.61,,Don QUARRIE,25 FEB 1951,JAM,1,Rieti (ITA),09 SEP 1981,1126
55,10533,20.61,1.7,Greg FOSTER,04 AUG 1958,USA,2,"Westwood, CA (USA)",16 MAY 1982,1126
56,10533,20.61,1.4,Don QUARRIE,25 FEB 1951,JAM,1,"Eugene, OR (USA)",05 JUN 1982,1126
57,10533,20.61,-1.5,Mel LATTANY,10 AUG 1959,USA,2,Milano (ITA),07 JUL 1982,1135
58,10533,20.61,0.4,Sterling HINDS,31 OCT 1961,CAN,3,Air Force Academy (USA),20 JUL 1982,1126
59,10533,20.61,0.3,Sterling HINDS,31 OCT 1961,CAN,3,"Colorado Springs, CO (USA)",20 JUL 1982,1126
60,10533,20.61,0.7,Erwin SKAMRAHL,08 MAR 1958,FRG,2sf2,"Olympic Stadium, Athina (GRE)",08 SEP 1982,1126
61,10533,20.61,2.0,Olaf PRENZLER,24 AUG 1958,GDR,1,Karl Marx Stadt (GDR),18 JUN 1983,1126
62,10533,20.61,1.3,Fred TAYLOR,05 NOV 1957,USA,4sf3,"Indianapolis, IN (USA)",19 JUN 1983,1126
63,10533,20.61,-4.3,Brady CRAIN,08 AUG 1956,USA,3,"Colorado Springs, CO (USA)",02 JUL 1983,1151
64,10533,20.61,0.1,Vladimir MURAVYOV,30 SEP 1959,URS,3sf1,Edmonton (CAN),09 JUL 1983,1126
65,10533,20.61,-1.0,Mel LATTANY,10 AUG 1959,USA,1,London (GBR),24 JUL 1983,1132
66,10533,20.61,1.2,Greg MOORE,08 NOV 1959,USA,1f2,"Walnut, CA (USA)",28 APR 1984,1126
67,10533,20.61,-0.7,Christian HAAS,22 AUG 1958,FRG,1,Schweinfurt (GER),03 JUN 1984,1130
68,10533,20.61,0.7,Joăo Eugęnio DA SILVA,22 AUG 1963,BRA,2sf2,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1126
69,10533,20.61,0.5,František BŘEČKA,21 JUN 1958,TCH,3,Cagliari (ITA),09 SEP 1984,1126
70,10533,20.61,,Floyd HEARD,24 MAR 1966,USA,1,"Milwaukee, WI (USA)",23 MAY 1985,1126
71,10533,20.61,1.2,Vladimir KRYLOV,26 FEB 1964,URS,2,Oslo (NOR),17 JUL 1985,1126
72,10533,20.61,1.8,István NAGY,28 APR 1959,HUN,1,Budapest (HUN),25 MAY 1986,1126
73,10533,20.61,-0.7,Roland JOKL,26 JUL 1962,AUT,1,Wien (AUT),06 JUL 1986,1130
74,10533,20.61,0.0,Vladimir KRYLOV,26 FEB 1964,URS,1sf1,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1126
75,10533,20.61,0.1,Lee MCNEILL,02 DEC 1964,USA,3,"Raleigh, NC (USA)",09 MAY 1987,1126
76,10533,20.61,0.0,James BUTLER,21 JUN 1960,USA,4,Grosseto (ITA),10 AUG 1987,1126
77,10533,20.61,0.8,Attila KOVÁCS,02 SEP 1960,HUN,2qf4,"Stadio Olimpico, Roma (ITA)",01 SEP 1987,1126
78,10533,20.61,-1.0,Calvin SMITH,08 JAN 1961,USA,4,Bruxelles (BEL),11 SEP 1987,1132
79,10533,20.61,0.8,Eugene MCNEILL,10 DEC 1965,USA,6,"Eugene, OR (USA)",03 JUN 1988,1126
80,10533,20.61,0.0,Roy MARTIN,25 DEC 1966,USA,1h5,"Indianapolis, IN (USA)",18 JUL 1988,1126
81,10533,20.61,-1.4,Floyd HEARD,24 MAR 1966,USA,3sf2,"Indianapolis, IN (USA)",20 JUL 1988,1134
82,10533,20.61,1.8,James BUTLER,21 JUN 1960,USA,2,Edinburgh (GBR),29 JUL 1988,1126
83,10533,20.61,1.8,Leandro PENALVER,23 MAY 1961,CUB,2,La Habana (CUB),06 AUG 1988,1126
84,10533,20.61,0.4,Jean-Charles TROUABAL,20 MAY 1965,FRA,5,Athina (GRE),03 SEP 1988,1126
85,10533,20.61,1.7,John REGIS,13 OCT 1966,GBR,2qf1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,1126
86,10533,20.61,1.1,Daniel SANGOUMA,07 FEB 1965,FRA,5,Nice (FRA),10 JUL 1989,1126
87,10533,20.61,0.9,Ade MAFE,12 NOV 1966,GBR,1f2,Auckland (NZL),20 JAN 1990,1126
88,10533,20.61,1.7,James TRAPP,28 DEC 1970,USA,1,"Clemson, SC (USA)",21 APR 1990,1126
89,10533,20.61,0.9,Daron COUNCIL,26 DEC 1964,USA,4sf1,"Norwalk, CA (USA)",16 JUN 1990,1126
90,10533,20.61,-1.1,Atlee MAHORN,27 OCT 1965,CAN,1f2,"Letzigrund, Zürich (SUI)",07 AUG 1991,1132
91,10533,20.61,1.7,Félix STEVENS,08 MAR 1964,CUB,2h1,La Habana (CUB),07 AUG 1991,1126
92,10533,20.61,0.1,Michael ROSSWESS,11 JUN 1965,GBR,3qf2,"National Stadium, Tokyo (JPN)",26 AUG 1991,1126
93,10533,20.61,0.8,Atlee MAHORN,27 OCT 1965,CAN,4,Sevilla (ESP),06 JUN 1992,1126
94,10533,20.61,1.2,Dean CAPOBIANCO,11 MAY 1970,AUS,4qf3,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1126
95,10533,20.61,0.5,Daryl FRAZIER,23 JAN 1971,USA,2,"Gainesville, FL (USA)",30 APR 1993,1126
96,10533,20.61,0.0,Ibrahim HASSAN,12 FEB 1971,GHA,2,Weinstadt (GER),07 AUG 1993,1126
97,10533,20.61,0.8,Ricardo GREENIDGE,12 FEB 1971,CAN,4,"Odessa, TX (USA)",21 MAY 1994,1126
98,10533,20.61,0.3,Randall EVANS,26 OCT 1970,USA,1,"Raleigh, NC (USA)",28 MAY 1994,1126
99,10533,20.61,0.6,Vladislav DOLOGODIN,23 FEB 1972,UKR,4,Bruxelles (BEL),19 AUG 1994,1126
0,10533,20.61,1.2,Leonardo PREVOST,13 JUN 1971,CUB,3,Mar del Plata (ARG),30 OCT 1994,1126
1,10533,20.61,0.9,Bryan BRONSON,09 SEP 1972,USA,2,"Austin, TX (USA)",23 APR 1995,1126
2,10533,20.61,1.3,Koji ITO,29 JAN 1970,JPN,1,Tokyo (JPN),11 JUN 1995,1126
3,10533,20.61,0.7,Lars HEDNER,27 MAY 1967,SWE,1sf2,Sollentuna (SWE),23 JUL 1995,1126
4,10533,20.61,0.5,Robert KURNICKI,27 MAR 1965,GER,2h8,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1126
5,10533,20.61,-0.1,Emmanuel TUFFOUR,02 DEC 1966,GHA,6qf4,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1126
6,10533,20.61,1.5,Sebastian KEITEL,14 FEB 1973,CHI,1,Santiago de Chile (CHI),16 MAR 1996,1126
7,10533,20.61,1.1,John REGIS,13 OCT 1966,GBR,1,Cape Town (RSA),12 APR 1996,1126
8,10533,20.61,1.8,Marlon RAMSEY,11 SEP 1974,USA,3,"College Station, TX (USA)",09 MAY 1996,1126
9,10533,20.61,-0.2,Barry SMITH,22 FEB 1971,USA,2,"Los Angeles, CA (USA)",11 MAY 1996,1127
10,10533,20.61,0.0,Sebastian KEITEL,14 FEB 1973,CHI,1,Santiago de Chile (CHI),18 MAY 1996,1126
11,10533,20.61,1.1,Cornelius CAVITT,22 OCT 1974,USA,4,"Eugene, OR (USA)",01 JUN 1996,1126
12,10533,20.61,0.9,Michael JOHNSON,13 SEP 1967,USA,1h,"Atlanta, GA (USA)",21 JUN 1996,1126
13,10533,20.61,0.5,Riaan DEMPERS,04 MAR 1977,RSA,2,Helsinki (FIN),25 JUN 1996,1126
14,10533,20.61,0.8,Robson DA SILVA,04 SEP 1964,BRA,2h8,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1126
15,10533,20.61,0.9,Robert MAĆKOWIAK,13 MAY 1970,POL,4qf3,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1126
16,10533,20.61,0.3,Emmanuel TUFFOUR,02 DEC 1966,GHA,7sf1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1126
17,10533,20.61,0.5,Steve BRIMACOMBE,07 MAY 1971,AUS,h,Melbourne (AUS),02 MAR 1997,1126
18,10533,20.61,0.4,Michael GREEN,07 NOV 1970,JAM,4,Osaka (JPN),10 MAY 1997,1126
19,10533,20.61,2.0,Deji ALIU,22 NOV 1975,NGR,2,Rethymno (GRE),17 MAY 1997,1126
20,10533,20.61,0.6,Deji ALIU,22 NOV 1975,NGR,1,Kalamata (GRE),24 MAY 1997,1126
21,10533,20.61,1.5,Kevin LITTLE,03 APR 1968,USA,6,"Eugene, OR (USA)",25 MAY 1997,1126
22,10533,20.61,-1.8,Alexandros TERZIAN,24 JUN 1968,GRE,1,Pireaus (GRE),31 MAY 1997,1136
23,10533,20.61,-1.8,Eric NKANSAH,12 DEC 1974,GHA,2,Pireaus (GRE),31 MAY 1997,1136
24,10533,20.61,-0.2,Raymond STEWART,18 MAR 1965,JAM,1,Arnhem (NED),12 JUL 1997,1127
25,10533,20.61,-0.5,Julian GOLDING,17 FEB 1975,GBR,7sf1,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1129
26,10533,20.61,-0.2,Douglas WALKER,28 JUL 1973,GBR,6sf2,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1127
27,10533,20.61,1.2,Ivan GARCÍA,29 FEB 1972,CUB,8,Bruxelles (BEL),22 AUG 1997,1126
28,10533,20.61,1.7,Claudeprotais TOUKENE GUEBOGO,25 FEB 1975,CMR,2,"Norfolk, VA (USA)",11 APR 1998,1126
29,10533,20.61,0.3,Charles LEE,13 NOV 1977,USA,2,"Westwood, CA (USA)",02 MAY 1998,1126
30,10533,20.61,-1.2,Deji ALIU,22 NOV 1975,NGR,1,Kalamata (GRE),23 MAY 1998,1133
31,10533,20.61,1.3,Julian GOLDING,17 FEB 1975,GBR,1,Chania (GRE),27 MAY 1998,1126
32,10533,20.61,0.9,Kevin WIDMER,23 SEP 1970,SUI,1,Zofingen (SUI),31 MAY 1998,1126
33,10533,20.61,1.0,Jonathan CARTER,05 MAY 1972,USA,4,"New Orleans, LA (USA)",21 JUN 1998,1126
34,10533,20.61,1.4,Christophe CHEVAL,25 FEB 1971,FRA,2,"Petrovskiy Stadium, St. Petersburg (RUS)",28 JUN 1998,1126
35,10533,20.61,0.0,Steve BRIMACOMBE,07 MAY 1971,AUS,h,Sydney (AUS),10 AUG 1998,1126
36,10533,20.61,-0.2,Julian GOLDING,17 FEB 1975,GBR,1sf1,"Népstadion, Budapest (HUN)",21 AUG 1998,1127
37,10533,20.61,0.3,Chris DONALDSON,26 MAY 1975,NZL,qf,Kuala Lumpur (MAS),18 SEP 1998,1126
38,10533,20.61,-3.3,Koji ITO,29 JAN 1970,JPN,2,Tokyo (JPN),19 SEP 1998,1145
39,10533,20.61,1.2,Clement CHUKWU,07 JUL 1973,NGR,h,Mt. Pleasant (USA),21 MAY 1999,1126
40,10533,20.61,-0.4,John STONE,07 JUL 1979,USA,3,"Atlanta, GA (USA)",22 MAY 1999,1128
41,10533,20.61,1.7,Troy DOUGLAS,30 NOV 1962,NED,4,Villeneuve d'Ascq (FRA),13 JUN 1999,1126
42,10533,20.61,2.0,John ERTZGAARD,18 JUN 1977,NOR,1,Haugesund (NOR),26 JUN 1999,1126
43,10533,20.61,-0.1,Anthuan MAYBANK,30 DEC 1969,USA,4,Linz (AUT),26 JUL 1999,1126
44,10533,20.61,-0.1,John ERTZGAARD,18 JUN 1977,NOR,3qf2,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1126
45,10533,20.61,0.9,Marlon DEVONISH,01 JUN 1976,GBR,2,Glasgow (GBR),03 SEP 1999,1126
46,10533,20.61,-1.2,Marcus LA GRANGE,12 DEC 1977,RSA,h,Johannesburg (RSA),17 SEP 1999,1133
47,10533,20.61,1.3,Leonard SCOTT,19 JAN 1980,USA,1,"Knoxville, TN (USA)",14 APR 2000,1126
48,10533,20.61,0.6,Jake JENSEN,29 MAY 1974,USA,2,"Flagstaff, AZ (USA)",08 JUL 2000,1126
49,10533,20.61,0.4,Ivan GARCÍA,29 FEB 1972,CUB,1,Salamanca (ESP),20 JUL 2000,1126
50,10533,20.61,-0.7,Rohsaan GRIFFIN,21 FEB 1974,USA,sf,"Sacramento, CA (USA)",23 JUL 2000,1130
51,10533,20.61,-0.7,Michael MARSH,04 AUG 1967,USA,sf,"Sacramento, CA (USA)",23 JUL 2000,1130
52,10533,20.61,-0.2,Dennis MITCHELL,20 FEB 1966,USA,5,Hechtel (BEL),05 AUG 2000,1127
53,10533,20.61,-0.4,Martin LACHKOVICS,25 JAN 1975,AUT,1,Wien (AUT),20 AUG 2000,1128
54,10533,20.61,0.7,Marlon DEVONISH,01 JUN 1976,GBR,3,Villeneuve d'Ascq (FRA),17 JUN 2001,1126
55,10533,20.61,1.0,Mickey GRIMES,10 OCT 1976,USA,h,"Eugene, OR (USA)",23 JUN 2001,1126
56,10533,20.61,1.8,Shane NIEMI,02 JUN 1978,CAN,1,Edmonton (CAN),24 JUN 2001,1126
57,10533,20.61,0.3,Stéphan BUCKLAND,12 JAN 1977,MRI,2h1,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1126
